document,actual,labeled,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
0,alt.atheism,atheism,20,11,21,43,12,10,22,21
1,alt.atheism,atheism,144,48,67,244,35,58,91,79
2,alt.atheism,atheism,85,37,54,136,36,44,56,68
3,alt.atheism,atheism,49,17,26,73,28,23,29,25
4,alt.atheism,atheism,102,44,63,152,52,97,90,89
5,alt.atheism,atheism,74,22,39,127,47,50,54,54
6,alt.atheism,atheism,52,21,43,85,49,31,47,68
7,alt.atheism,atheism,13,10,8,36,12,14,5,11
8,alt.atheism,atheism,13,9,4,34,9,8,7,5
9,alt.atheism,atheism,21,13,13,44,11,14,15,11
10,alt.atheism,atheism,58,36,31,84,22,32,50,37
11,alt.atheism,atheism,105,39,44,133,38,42,58,46
12,alt.atheism,atheism,86,38,70,265,60,64,89,110
13,alt.atheism,for sale,46,23,37,35,33,35,37,37
14,alt.atheism,for sale,39,20,25,28,26,24,31,26
15,alt.atheism,atheism,52,28,29,82,23,42,42,41
16,alt.atheism,atheism,63,22,38,107,41,45,48,56
17,alt.atheism,atheism,28,13,24,55,23,19,22,28
18,alt.atheism,atheism,34,15,16,55,29,26,21,29
19,alt.atheism,guns,23,20,11,33,23,31,13,35
20,alt.atheism,atheism,35,10,26,54,26,14,21,32
21,alt.atheism,atheism,91,35,56,199,46,55,77,73
22,alt.atheism,university misc,13,5,11,24,18,27,6,9
23,alt.atheism,atheism,78,35,37,126,41,33,59,61
24,alt.atheism,atheism,164,63,109,306,84,73,164,143
25,alt.atheism,atheism,115,44,74,219,56,66,90,75
26,alt.atheism,atheism,45,19,27,110,24,34,41,49
27,alt.atheism,atheism,64,34,51,129,32,40,66,72
28,alt.atheism,atheism,159,51,99,305,48,94,126,121
29,alt.atheism,atheism,30,14,27,52,23,18,33,27
30,alt.atheism,atheism,46,27,34,61,28,24,43,41
31,alt.atheism,atheism,154,61,88,234,74,76,99,112
32,alt.atheism,atheism,69,23,22,96,35,42,39,60
33,alt.atheism,university misc,9,9,9,7,11,14,14,8
34,alt.atheism,atheism,26,13,10,48,21,21,21,19
35,alt.atheism,atheism,63,29,38,68,25,42,53,46
36,alt.atheism,atheism,17,10,8,35,11,12,13,7
37,alt.atheism,atheism,181,55,99,291,48,71,138,125
38,alt.atheism,atheism,61,20,35,129,32,28,45,42
39,alt.atheism,atheism,100,26,39,133,37,58,72,53
40,alt.atheism,atheism,33,15,20,60,30,18,29,39
41,alt.atheism,atheism,68,22,33,119,34,41,50,51
42,alt.atheism,atheism,115,62,96,178,53,80,103,121
43,alt.atheism,atheism,57,33,46,86,52,41,57,62
44,alt.atheism,for sale,40,33,24,39,24,40,35,28
45,alt.atheism,atheism,92,30,63,190,32,42,75,68
46,alt.atheism,atheism,16,9,13,39,10,15,13,13
47,alt.atheism,atheism,12,12,14,39,11,9,13,21
48,alt.atheism,atheism,36,15,19,89,17,24,26,23
49,alt.atheism,atheism,23,14,16,53,13,15,17,23
50,alt.atheism,atheism,29,12,21,60,14,37,26,23
51,alt.atheism,atheism,21,18,25,38,29,19,18,16
52,alt.atheism,atheism,10,7,13,22,10,20,13,8
53,alt.atheism,atheism,65,29,44,156,29,37,81,92
54,alt.atheism,atheism,46,18,21,57,25,30,21,26
55,alt.atheism,for sale,53,32,40,51,37,34,47,40
56,alt.atheism,atheism,108,51,54,148,47,50,76,108
57,alt.atheism,atheism,133,41,66,194,54,73,105,99
58,alt.atheism,atheism,98,35,55,151,46,50,83,69
59,alt.atheism,atheism,121,46,65,234,52,73,98,92
60,alt.atheism,atheism,18,5,11,25,16,23,15,13
61,alt.atheism,atheism,18,17,16,30,22,16,17,21
62,alt.atheism,atheism,13,5,7,24,6,7,13,7
63,alt.atheism,atheism,52,32,48,68,43,30,58,56
64,alt.atheism,atheism,17,20,30,38,24,28,26,25
65,alt.atheism,atheism,130,37,79,252,61,52,82,126
66,alt.atheism,atheism,64,34,57,146,84,36,51,68
67,alt.atheism,atheism,28,23,20,53,23,19,26,22
68,alt.atheism,atheism,77,24,45,141,47,92,59,68
69,alt.atheism,atheism,22,7,14,47,21,40,17,24
70,alt.atheism,atheism,130,68,66,182,60,70,105,89
71,alt.atheism,atheism,45,16,31,60,18,22,49,32
72,alt.atheism,atheism,33,8,15,56,18,52,20,20
73,alt.atheism,atheism,33,5,14,40,17,38,26,24
74,alt.atheism,atheism,49,15,26,61,16,58,27,38
75,alt.atheism,university misc,40,21,27,50,20,65,30,38
76,alt.atheism,university misc,30,9,16,54,10,57,23,18
77,alt.atheism,university misc,18,9,10,40,28,53,23,31
78,alt.atheism,atheism,73,33,40,129,45,53,88,52
79,alt.atheism,atheism,36,13,22,69,28,26,34,33
80,alt.atheism,atheism,65,22,24,107,25,40,44,53
81,alt.atheism,atheism,83,28,38,112,31,29,44,42
82,alt.atheism,for sale,58,30,34,58,33,32,45,42
83,alt.atheism,atheism,35,11,14,86,26,56,21,28
84,alt.atheism,atheism,19,11,16,39,21,30,24,21
85,alt.atheism,atheism,30,15,17,64,23,48,34,32
86,alt.atheism,atheism,129,57,93,278,59,55,101,130
87,alt.atheism,atheism,102,50,55,196,47,40,95,90
88,alt.atheism,atheism,76,35,54,147,40,29,77,69
89,alt.atheism,atheism,24,16,19,52,12,19,18,17
90,alt.atheism,atheism,30,25,27,65,26,24,34,28
91,alt.atheism,atheism,30,23,28,53,20,21,29,42
92,alt.atheism,atheism,32,12,17,55,22,26,23,25
93,alt.atheism,atheism,18,19,21,51,18,24,25,34
94,alt.atheism,atheism,67,73,50,110,38,66,58,88
95,alt.atheism,atheism,71,95,74,197,113,51,96,137
96,alt.atheism,atheism,30,11,25,52,36,22,29,22
97,alt.atheism,atheism,17,14,18,26,17,16,18,18
98,alt.atheism,atheism,13,11,10,37,10,25,19,31
99,alt.atheism,guns,8,6,13,17,9,16,13,19
100,misc.forsale,apple hardware,37,25,56,35,32,29,46,31
101,misc.forsale,apple hardware,93,52,205,79,104,60,153,97
102,misc.forsale,apple hardware,42,34,71,40,37,29,46,37
103,misc.forsale,electronics,19,22,23,20,33,21,43,35
104,misc.forsale,apple hardware,15,8,38,19,30,13,25,22
105,misc.forsale,apple hardware,13,20,34,18,25,17,18,22
106,misc.forsale,apple hardware,12,8,29,12,22,16,18,15
107,misc.forsale,apple hardware,4,7,27,10,20,10,12,7
108,misc.forsale,email filler,12,18,14,9,31,14,17,15
109,misc.forsale,email filler,7,9,22,8,38,19,23,16
110,misc.forsale,apple hardware,13,11,34,12,21,8,20,18
111,misc.forsale,email filler,8,9,16,11,20,6,10,11
112,misc.forsale,electronics,27,15,34,15,39,9,53,20
113,misc.forsale,apple hardware,22,16,50,22,32,26,42,29
114,misc.forsale,apple hardware,16,5,23,10,15,11,14,14
115,misc.forsale,apple hardware,8,14,30,4,26,10,16,9
116,misc.forsale,guns,42,86,91,88,87,45,84,314
117,misc.forsale,guns,36,44,72,67,63,31,73,136
118,misc.forsale,apple hardware,19,11,50,20,28,23,30,15
119,misc.forsale,email filler,13,27,33,13,39,15,22,22
120,misc.forsale,email filler,11,19,29,15,32,13,23,19
121,misc.forsale,email filler,1,11,15,6,18,8,12,9
122,misc.forsale,apple hardware,26,14,31,17,31,22,19,22
123,misc.forsale,electronics,52,35,48,42,38,33,83,59
124,misc.forsale,email filler,9,6,15,12,23,18,10,20
125,misc.forsale,apple hardware,20,15,52,17,30,10,32,22
126,misc.forsale,apple hardware,17,17,32,13,28,16,23,16
127,misc.forsale,email filler,7,11,17,6,21,18,10,11
128,misc.forsale,apple hardware,19,17,98,14,28,31,33,20
129,misc.forsale,electronics,11,15,17,16,22,14,30,18
130,misc.forsale,guns,31,32,43,29,31,22,55,62
131,misc.forsale,apple hardware,9,12,25,10,24,15,10,15
132,misc.forsale,university misc,19,15,15,17,22,23,16,17
133,misc.forsale,email filler,4,7,20,9,31,12,11,12
134,misc.forsale,email filler,7,13,16,8,24,16,23,21
135,misc.forsale,electronics,13,17,26,18,29,19,37,30
136,misc.forsale,email filler,21,13,43,15,57,24,26,15
137,misc.forsale,university misc,9,10,20,9,23,29,17,21
138,misc.forsale,email filler,6,13,11,6,19,13,18,12
139,misc.forsale,apple hardware,4,5,24,6,13,10,10,9
140,misc.forsale,email filler,4,8,18,9,31,10,12,15
141,misc.forsale,electronics,21,13,17,18,20,13,27,17
142,misc.forsale,email filler,26,16,33,22,35,21,33,32
143,misc.forsale,email filler,7,6,15,5,20,8,9,12
144,misc.forsale,electronics,57,20,54,52,48,34,63,41
145,misc.forsale,electronics,21,9,23,14,14,16,25,21
146,misc.forsale,apple hardware,12,13,22,14,15,16,17,19
147,misc.forsale,apple hardware,38,25,53,21,32,24,48,40
148,misc.forsale,email filler,5,1,7,2,11,9,4,3
149,misc.forsale,email filler,2,11,11,5,20,9,13,15
150,misc.forsale,apple hardware,12,10,47,11,25,11,28,18
151,misc.forsale,email filler,11,18,41,28,56,55,36,33
152,misc.forsale,email filler,12,16,21,15,27,16,16,21
153,misc.forsale,guns,9,2,12,13,5,5,10,14
154,misc.forsale,guns,31,40,43,31,41,27,67,73
155,misc.forsale,apple hardware,85,55,100,70,88,47,86,75
156,misc.forsale,email filler,9,22,36,14,37,20,24,19
157,misc.forsale,electronics,14,24,30,15,29,20,44,20
158,misc.forsale,email filler,1,5,10,1,13,8,4,9
159,misc.forsale,electronics,64,37,69,38,64,29,95,47
160,misc.forsale,apple hardware,17,15,55,9,18,13,21,17
161,misc.forsale,apple hardware,33,32,111,47,64,25,66,50
162,misc.forsale,email filler,22,16,28,21,37,17,28,27
163,misc.forsale,email filler,9,14,10,8,25,8,14,14
164,misc.forsale,email filler,13,8,9,14,23,16,17,10
165,misc.forsale,university misc,1,0,4,4,6,12,4,2
166,misc.forsale,apple hardware,12,3,18,3,10,8,16,7
167,misc.forsale,electronics,56,29,61,35,47,50,112,54
168,misc.forsale,email filler,14,10,16,15,22,22,16,14
169,misc.forsale,email filler,3,10,14,9,22,13,13,11
170,misc.forsale,apple hardware,9,9,29,10,21,13,15,10
171,misc.forsale,apple hardware,19,15,48,21,35,23,27,21
172,misc.forsale,apple hardware,6,6,28,9,22,12,12,8
173,misc.forsale,apple hardware,3,6,23,3,22,11,7,5
174,misc.forsale,apple hardware,18,12,39,13,27,13,17,15
175,misc.forsale,email filler,3,5,20,4,22,9,5,6
176,misc.forsale,email filler,9,6,19,6,21,10,12,5
177,misc.forsale,apple hardware,8,8,31,9,27,12,11,16
178,misc.forsale,email filler,8,20,29,15,34,22,17,25
179,misc.forsale,email filler,15,12,31,15,39,29,16,20
180,misc.forsale,apple hardware,7,12,54,5,18,8,16,7
181,misc.forsale,email filler,23,36,43,42,74,26,48,38
182,misc.forsale,apple hardware,13,9,47,9,16,9,29,14
183,misc.forsale,electronics,31,19,27,16,16,14,33,24
184,misc.forsale,apple hardware,9,7,20,8,11,15,9,5
185,misc.forsale,apple hardware,4,3,31,5,16,18,17,8
186,misc.forsale,email filler,11,6,15,11,17,12,12,17
187,misc.forsale,email filler,15,12,17,17,22,16,22,19
188,misc.forsale,apple hardware,16,17,58,19,39,25,37,25
189,misc.forsale,email filler,6,14,14,11,29,19,17,11
190,misc.forsale,email filler,17,18,41,13,49,25,39,32
191,misc.forsale,email filler,18,19,44,15,49,25,42,33
192,misc.forsale,university misc,5,6,10,5,17,19,7,6
193,misc.forsale,atheism,16,10,19,22,18,16,19,9
194,misc.forsale,university misc,6,16,18,5,14,21,13,13
195,misc.forsale,apple hardware,5,14,20,3,13,18,11,13
196,misc.forsale,apple hardware,5,13,20,6,13,20,11,14
197,misc.forsale,email filler,5,7,11,3,28,18,19,11
198,misc.forsale,electronics,32,33,47,35,62,36,68,46
199,misc.forsale,apple hardware,2,1,14,9,12,10,8,9
200,rec.sport.hockey,for sale,132,103,68,103,67,84,81,66
201,rec.sport.hockey,for sale,102,69,51,75,45,65,76,76
202,rec.sport.hockey,university misc,16,32,7,12,17,40,14,17
203,rec.sport.hockey,hockey,26,30,14,18,16,10,19,18
204,rec.sport.hockey,hockey,35,45,32,36,35,28,40,35
205,rec.sport.hockey,hockey,18,49,13,11,17,19,19,11
206,rec.sport.hockey,for sale,146,123,49,112,42,83,75,70
207,rec.sport.hockey,hockey,16,18,6,7,6,8,16,9
208,rec.sport.hockey,hockey,24,65,40,30,44,54,33,29
209,rec.sport.hockey,email filler,43,43,25,43,54,40,38,36
