document,actual,labeled,hockey,apple hardware,for sale,politics misc,guns,atheism
0,alt.atheism,atheism,146,155,348,133,291,634
1,alt.atheism,atheism,396,487,327,428,764,2542
2,alt.atheism,atheism,86,114,37,96,120,250
3,alt.atheism,atheism,28,35,53,28,40,79
4,alt.atheism,politics misc,13,19,20,38,14,22
5,alt.atheism,atheism,89,95,49,88,116,364
6,alt.atheism,politics misc,9,9,10,43,8,15
7,alt.atheism,atheism,18,16,18,64,46,66
8,alt.atheism,politics misc,33,30,28,142,43,118
9,alt.atheism,politics misc,5,8,10,34,10,12
10,alt.atheism,politics misc,15,11,13,52,16,23
11,alt.atheism,politics misc,11,22,9,33,11,24
12,alt.atheism,politics misc,11,15,18,67,23,55
13,alt.atheism,politics misc,38,49,34,122,80,101
14,alt.atheism,politics misc,37,33,30,120,76,117
15,alt.atheism,politics misc,14,22,16,87,41,64
16,alt.atheism,politics misc,17,18,16,55,25,27
17,alt.atheism,politics misc,12,22,15,79,44,60
18,alt.atheism,politics misc,36,38,21,114,53,85
19,alt.atheism,atheism,15,27,28,19,28,88
20,alt.atheism,atheism,16,11,7,12,7,24
21,alt.atheism,atheism,18,28,16,34,22,54
22,alt.atheism,atheism,108,155,77,389,228,476
23,alt.atheism,politics misc,6,11,9,47,9,26
24,alt.atheism,for sale,23,35,66,24,27,49
25,alt.atheism,for sale,16,19,23,21,15,15
26,alt.atheism,politics misc,5,9,6,40,11,24
27,alt.atheism,politics misc,13,19,13,65,32,45
28,alt.atheism,atheism,28,43,31,56,44,78
29,alt.atheism,politics misc,5,7,8,30,6,14
30,alt.atheism,politics misc,11,9,13,43,21,28
31,alt.atheism,guns,66,98,126,69,258,158
32,alt.atheism,atheism,24,26,11,24,34,74
33,alt.atheism,atheism,60,81,65,84,106,344
34,alt.atheism,atheism,28,20,40,43,25,66
35,alt.atheism,politics misc,28,26,33,72,25,49
36,alt.atheism,politics misc,65,80,50,243,105,241
37,alt.atheism,atheism,19,26,22,44,49,104
38,alt.atheism,atheism,15,12,17,13,7,18
39,alt.atheism,politics misc,33,35,25,66,24,64
40,alt.atheism,politics misc,14,25,24,61,22,45
41,alt.atheism,politics misc,18,18,32,72,13,71
42,alt.atheism,atheism,47,70,44,102,89,176
43,alt.atheism,politics misc,15,24,17,73,20,37
44,alt.atheism,atheism,41,53,26,61,63,140
45,alt.atheism,atheism,71,75,60,83,100,293
46,alt.atheism,politics misc,19,24,32,64,33,54
47,alt.atheism,politics misc,5,17,15,73,8,21
48,alt.atheism,atheism,15,17,14,28,19,33
49,alt.atheism,atheism,45,49,54,54,60,201
50,alt.atheism,politics misc,38,33,16,97,49,73
51,alt.atheism,politics misc,8,8,8,42,6,8
52,alt.atheism,atheism,22,42,27,37,50,138
53,alt.atheism,politics misc,46,45,26,152,74,107
54,alt.atheism,politics misc,19,14,17,81,17,40
55,alt.atheism,politics misc,12,14,13,71,16,23
56,alt.atheism,politics misc,10,20,14,98,19,53
57,alt.atheism,politics misc,12,14,18,79,17,25
58,alt.atheism,politics misc,22,15,19,97,23,33
