document,actual,labeled,apple hardware,atheism,hockey,electronics,for sale,guns
0,alt.atheism,atheism,246,737,278,309,194,361
1,alt.atheism,atheism,374,2500,606,549,870,1270
2,alt.atheism,atheism,76,289,119,101,130,163
3,alt.atheism,atheism,28,87,53,49,51,46
4,alt.atheism,atheism,21,44,18,20,21,33
5,alt.atheism,atheism,67,382,116,91,144,195
6,alt.atheism,atheism,13,49,13,14,14,10
7,alt.atheism,atheism,15,112,23,32,44,49
8,alt.atheism,atheism,39,206,52,43,59,84
9,alt.atheism,atheism,12,35,13,5,16,9
10,alt.atheism,atheism,10,57,20,11,27,17
11,alt.atheism,atheism,13,47,19,16,22,10
12,alt.atheism,atheism,18,93,24,17,37,38
13,alt.atheism,atheism,39,163,49,45,79,107
14,alt.atheism,atheism,40,179,55,40,79,117
15,alt.atheism,atheism,29,112,27,29,34,69
16,alt.atheism,atheism,13,67,21,10,26,34
17,alt.atheism,atheism,17,119,31,23,40,42
18,alt.atheism,atheism,34,163,48,36,56,81
19,alt.atheism,atheism,32,84,16,29,47,40
20,alt.atheism,atheism,6,29,19,15,20,13
21,alt.atheism,atheism,15,71,30,25,39,29
22,alt.atheism,atheism,128,665,183,195,258,395
23,alt.atheism,atheism,19,60,17,12,20,16
24,alt.atheism,atheism,44,52,48,48,41,38
25,alt.atheism,guns,15,24,20,20,23,28
26,alt.atheism,atheism,13,50,12,11,16,21
27,alt.atheism,atheism,19,92,21,25,33,36
28,alt.atheism,atheism,27,111,43,36,56,69
29,alt.atheism,atheism,9,34,13,8,10,4
30,alt.atheism,atheism,16,49,15,15,21,22
31,alt.atheism,guns,111,168,107,123,97,323
32,alt.atheism,atheism,17,85,24,26,34,38
33,alt.atheism,atheism,85,368,97,73,120,173
34,alt.atheism,atheism,32,90,46,20,53,45
35,alt.atheism,atheism,38,81,33,23,63,59
36,alt.atheism,atheism,76,369,109,80,130,205
37,alt.atheism,atheism,40,127,36,33,38,55
38,alt.atheism,atheism,15,30,13,15,22,16
39,alt.atheism,atheism,29,79,41,34,53,49
40,alt.atheism,atheism,27,80,27,23,28,31
41,alt.atheism,atheism,36,101,26,27,32,28
42,alt.atheism,atheism,46,207,63,59,99,136
43,alt.atheism,atheism,23,77,34,22,30,32
44,alt.atheism,atheism,37,146,45,47,73,93
45,alt.atheism,atheism,61,318,91,88,137,165
46,alt.atheism,atheism,21,85,32,18,56,50
47,alt.atheism,atheism,20,70,17,12,27,21
48,alt.atheism,atheism,23,46,22,12,25,23
49,alt.atheism,atheism,49,209,67,37,93,104
50,alt.atheism,atheism,24,139,54,31,58,75
51,alt.atheism,atheism,7,44,15,3,16,15
52,alt.atheism,atheism,28,136,37,49,67,89
53,alt.atheism,atheism,57,189,60,46,78,116
54,alt.atheism,atheism,16,102,22,15,24,25
55,alt.atheism,atheism,17,82,16,15,29,24
56,alt.atheism,atheism,26,122,21,20,35,37
57,alt.atheism,atheism,19,82,21,14,29,23
58,alt.atheism,atheism,15,101,22,14,40,25
59,alt.atheism,atheism,46,150,58,47,81,83
60,alt.atheism,atheism,28,122,40,40,67,60
61,alt.atheism,atheism,19,77,22,15,27,30
62,alt.atheism,atheism,22,107,22,24,41,41
63,alt.atheism,atheism,14,86,17,17,28,31
64,alt.atheism,atheism,50,138,50,33,49,61
65,alt.atheism,atheism,21,60,35,22,53,42
66,alt.atheism,atheism,13,65,9,11,19,11
67,alt.atheism,atheism,26,66,18,23,27,30
68,alt.atheism,atheism,32,66,14,21,17,22
69,alt.atheism,atheism,21,97,19,24,46,50
70,alt.atheism,atheism,36,144,57,45,58,67
71,alt.atheism,atheism,22,112,34,33,40,50
72,alt.atheism,atheism,28,67,22,16,29,27
73,alt.atheism,atheism,39,175,49,45,72,94
