document,actual,labeled,atheism,hockey,apple hardware,for sale,guns,electronics
0,alt.atheism,atheism,739,300,296,230,443,334
1,alt.atheism,atheism,2519,594,388,865,1393,906
2,alt.atheism,atheism,310,116,73,125,171,148
3,alt.atheism,atheism,87,42,44,57,62,48
4,alt.atheism,atheism,44,22,14,21,41,19
5,alt.atheism,atheism,379,133,101,131,208,145
6,alt.atheism,atheism,48,18,12,17,18,14
7,alt.atheism,atheism,114,26,22,35,67,39
8,alt.atheism,atheism,203,57,43,55,108,68
9,alt.atheism,atheism,35,12,13,19,13,11
10,alt.atheism,atheism,59,18,13,26,24,22
11,alt.atheism,atheism,48,22,15,21,19,23
12,alt.atheism,atheism,96,23,25,44,49,33
13,alt.atheism,atheism,168,50,51,84,125,76
14,alt.atheism,atheism,184,50,36,82,126,69
15,alt.atheism,atheism,117,29,23,39,83,37
16,alt.atheism,atheism,74,21,13,31,40,23
17,alt.atheism,atheism,118,31,17,36,53,42
18,alt.atheism,atheism,165,50,43,60,97,59
19,alt.atheism,atheism,102,21,26,43,47,46
20,alt.atheism,atheism,31,19,8,24,13,11
21,alt.atheism,atheism,70,31,21,33,40,34
22,alt.atheism,atheism,659,159,158,283,458,265
23,alt.atheism,atheism,60,18,18,21,24,22
24,alt.atheism,atheism,60,39,52,45,46,47
25,alt.atheism,atheism,31,15,22,18,31,28
26,alt.atheism,atheism,52,10,9,19,22,11
27,alt.atheism,atheism,91,22,23,33,42,37
28,alt.atheism,atheism,109,45,36,46,79,59
29,alt.atheism,atheism,37,12,10,13,11,9
30,alt.atheism,atheism,51,14,15,23,29,24
31,alt.atheism,guns,190,123,118,118,306,151
32,alt.atheism,atheism,91,25,25,32,51,48
33,alt.atheism,atheism,388,90,69,141,197,126
34,alt.atheism,atheism,95,42,41,52,55,37
35,alt.atheism,atheism,92,42,47,66,60,45
36,alt.atheism,atheism,369,104,90,120,241,155
37,alt.atheism,atheism,123,36,44,57,63,48
38,alt.atheism,atheism,34,16,10,22,15,18
39,alt.atheism,atheism,87,43,36,62,52,49
40,alt.atheism,atheism,78,25,28,40,41,28
41,alt.atheism,atheism,105,21,29,38,34,37
42,alt.atheism,atheism,214,70,63,92,165,99
43,alt.atheism,atheism,85,28,24,37,33,26
44,alt.atheism,atheism,161,49,50,81,103,97
45,alt.atheism,atheism,324,90,84,120,182,146
46,alt.atheism,atheism,80,32,22,55,61,51
47,alt.atheism,atheism,70,19,25,31,17,23
48,alt.atheism,atheism,54,23,26,31,28,23
49,alt.atheism,atheism,221,71,46,96,113,81
50,alt.atheism,atheism,144,52,30,66,73,48
51,alt.atheism,atheism,47,13,11,16,13,12
52,alt.atheism,atheism,136,36,42,58,97,53
