document,actual,labeled,hockey,atheism,for sale,apple hardware,electronics,guns
0,alt.atheism,atheism,281,714,162,333,283,469
1,alt.atheism,atheism,561,2538,616,518,915,1364
2,alt.atheism,atheism,111,308,108,91,155,163
3,alt.atheism,atheism,41,87,45,42,52,62
4,alt.atheism,guns,26,38,18,18,19,43
5,alt.atheism,atheism,125,385,97,107,146,200
6,alt.atheism,for sale,10,28,34,10,12,14
7,alt.atheism,atheism,24,112,27,23,43,53
8,alt.atheism,atheism,60,186,60,51,78,102
9,alt.atheism,for sale,5,20,33,10,14,12
10,alt.atheism,for sale,13,38,44,13,22,18
11,alt.atheism,atheism,13,36,34,12,22,19
12,alt.atheism,atheism,16,69,61,17,38,42
13,alt.atheism,atheism,53,158,82,48,74,123
14,alt.atheism,atheism,52,171,85,38,72,119
15,alt.atheism,atheism,21,107,54,35,37,82
16,alt.atheism,atheism,18,49,46,9,21,38
17,alt.atheism,atheism,26,94,63,19,36,40
18,alt.atheism,atheism,48,128,96,43,63,91
19,alt.atheism,atheism,31,79,38,24,51,48
20,alt.atheism,for sale,24,17,26,7,12,13
21,alt.atheism,atheism,34,56,34,26,38,35
22,alt.atheism,atheism,190,656,258,191,284,444
23,alt.atheism,atheism,10,45,42,16,24,19
24,alt.atheism,electronics,42,50,46,46,51,49
25,alt.atheism,guns,23,26,15,24,22,33
26,alt.atheism,for sale,9,32,33,7,8,20
27,alt.atheism,atheism,24,79,46,16,27,31
28,alt.atheism,atheism,50,106,46,29,45,82
29,alt.atheism,for sale,6,22,29,11,10,9
30,alt.atheism,atheism,10,39,32,14,19,30
31,alt.atheism,guns,119,184,94,119,149,296
32,alt.atheism,atheism,26,87,16,21,41,45
33,alt.atheism,atheism,87,362,130,70,125,184
34,alt.atheism,atheism,39,82,61,30,40,51
35,alt.atheism,for sale,41,68,81,31,38,57
36,alt.atheism,atheism,131,349,115,96,151,227
37,alt.atheism,atheism,32,117,50,45,40,65
38,alt.atheism,atheism,13,26,14,10,25,14
39,alt.atheism,atheism,38,66,65,39,44,52
40,alt.atheism,atheism,19,55,54,27,34,42
41,alt.atheism,for sale,21,66,67,29,34,44
42,alt.atheism,atheism,63,206,88,63,93,144
43,alt.atheism,for sale,21,54,75,22,31,32
44,alt.atheism,atheism,49,150,52,43,77,100
45,alt.atheism,atheism,86,321,99,103,139,172
46,alt.atheism,atheism,31,79,46,19,50,51
47,alt.atheism,for sale,18,43,61,12,18,18
48,alt.atheism,atheism,31,41,35,14,24,28
49,alt.atheism,atheism,72,210,95,59,76,110
50,alt.atheism,atheism,49,107,94,34,55,74
51,alt.atheism,for sale,10,16,43,5,9,10
52,alt.atheism,atheism,48,137,56,45,47,85
53,alt.atheism,atheism,69,183,83,51,66,120
