document,actual,apple hardware,electronics,email filler words,for sale,hockey,guns,atheism,misc
0,atheism,4.1,7.51,5.47,16.57,4.87,10.16,47.99,3.33
1,atheism,0.85,3.0,1.02,1.06,0.81,4.41,75.25,13.59
2,atheism,4.75,9.5,6.18,4.75,4.28,4.75,45.13,20.67
3,atheism,11.87,7.31,12.33,12.79,6.39,10.05,22.83,16.44
4,atheism,10.76,10.76,19.62,9.49,8.86,11.39,20.89,8.23
5,atheism,3.48,3.69,3.69,2.87,3.89,3.07,61.68,17.62
6,atheism,7.41,8.89,14.81,11.85,7.41,8.89,30.37,10.37
7,atheism,5.85,6.34,8.78,5.85,4.88,8.29,48.29,11.71
8,atheism,4.67,4.33,4.33,4.0,4.67,3.67,63.0,11.33
9,atheism,9.92,8.26,18.18,9.09,9.09,9.09,25.62,10.74
10,atheism,9.09,10.49,13.99,8.39,6.99,9.79,27.27,13.99
11,atheism,10.79,9.35,12.95,9.35,9.35,7.19,28.78,12.23
12,atheism,6.99,6.99,11.29,8.06,5.38,8.06,40.32,12.9
13,atheism,6.32,6.32,7.72,4.56,3.51,13.68,36.14,21.75
14,atheism,3.67,6.33,7.0,5.0,3.67,11.33,41.67,21.33
15,atheism,5.53,5.53,9.22,5.99,4.61,13.36,44.24,11.52
16,atheism,6.67,7.27,11.52,6.67,6.06,15.15,33.33,13.33
17,atheism,6.22,8.61,8.13,5.26,6.22,6.7,49.76,9.09
18,atheism,5.68,5.3,10.23,5.68,4.55,7.95,46.59,14.02
19,atheism,8.5,12.0,15.5,7.5,5.0,7.0,31.5,13.0
20,email filler words,12.0,10.4,20.0,8.8,14.4,8.0,13.6,12.8
21,email filler words,8.05,9.2,22.99,8.62,6.9,8.05,22.99,13.22
22,atheism,2.06,3.14,2.42,1.69,1.81,8.83,60.1,19.95
23,atheism,9.15,7.75,11.97,8.45,7.75,7.75,35.21,11.97
24,email filler words,18.78,8.12,20.3,11.68,9.64,9.64,13.71,8.12
25,email filler words,13.97,11.03,15.44,11.03,13.24,10.29,12.5,12.5
26,atheism,7.97,7.25,10.87,7.97,7.25,13.04,35.51,10.14
27,atheism,6.67,9.44,10.56,6.11,6.11,7.78,44.44,8.89
28,atheism,7.93,9.25,19.82,6.61,6.61,11.01,25.55,13.22
29,atheism,10.92,8.4,16.81,9.24,8.4,9.24,27.73,9.24
30,atheism,12.68,9.86,10.56,7.75,7.04,9.86,29.58,12.68
31,guns,7.07,12.62,5.74,9.56,5.74,42.07,11.47,5.74
32,atheism,7.26,12.85,8.94,7.26,5.59,10.06,34.64,13.41
33,atheism,4.71,4.51,5.33,3.69,3.28,3.89,65.16,9.43
34,atheism,5.42,7.88,20.2,7.88,6.9,7.39,36.45,7.88
35,email filler words,5.63,6.57,30.99,8.45,6.1,8.45,16.43,17.37
