document,actual,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
0,atheism,3.25,4.61,4.18,48.42,16.57,3.5,7.0,12.47
1,atheism,12.57,1.06,1.34,75.99,0.81,0.88,3.04,4.31
2,atheism,15.68,3.09,6.65,47.51,4.51,4.04,12.83,5.7
3,atheism,14.61,9.59,6.85,27.85,12.33,7.31,12.79,8.68
4,university misc,16.46,6.96,10.76,13.29,12.66,17.72,8.86,13.29
5,atheism,18.44,3.07,2.46,61.89,3.07,3.69,3.89,3.48
6,university misc,11.85,8.89,7.41,16.3,8.15,30.37,8.89,8.15
7,atheism,9.27,5.37,7.32,48.29,6.83,7.8,6.83,8.29
8,atheism,10.33,4.67,5.0,49.0,3.33,15.67,5.33,6.67
9,university misc,12.4,8.26,9.92,10.74,9.92,30.58,8.26,9.92
10,university misc,13.29,8.39,6.99,13.29,8.39,32.17,7.69,9.79
11,university misc,14.39,10.07,9.35,17.99,8.63,23.02,7.91,8.63
12,atheism,10.22,5.91,6.45,32.26,7.53,22.04,7.53,8.06
13,atheism,19.3,3.86,8.42,29.82,3.86,12.63,6.32,15.79
14,atheism,18.67,4.33,4.33,40.0,4.33,10.33,5.0,13.0
15,atheism,11.52,5.07,6.91,33.64,5.53,15.67,5.07,16.59
16,atheism,9.7,7.27,8.48,38.18,6.67,9.7,7.27,12.73
17,atheism,10.53,6.22,6.22,48.33,5.26,10.05,6.22,7.18
18,atheism,14.02,4.92,4.92,39.02,6.82,15.15,4.92,10.23
19,atheism,14.0,5.0,7.5,29.5,8.5,18.5,10.5,6.5
20,university misc,11.2,15.2,9.6,15.2,9.6,22.4,8.0,8.8
21,atheism,12.07,8.05,7.47,25.86,9.77,22.41,6.32,8.05
22,atheism,19.47,2.06,1.69,57.07,1.57,5.56,3.87,8.71
23,university misc,8.45,7.75,8.45,21.13,8.45,30.28,7.75,7.75
24,email filler,10.15,10.15,6.6,15.23,28.93,8.63,9.14,11.17
25,guns,10.29,10.29,13.97,11.76,14.71,13.24,8.82,16.91
26,university misc,8.7,7.97,7.97,18.84,7.97,28.26,7.25,13.04
27,atheism,10.0,6.11,7.22,34.44,6.11,19.44,8.89,7.78
28,atheism,14.54,8.37,5.29,26.87,6.17,17.62,6.61,14.54
29,university misc,10.08,8.4,8.4,16.81,10.08,29.41,8.4,8.4
30,university misc,9.86,8.45,7.75,16.9,9.15,24.65,11.97,11.27
31,guns,4.02,6.5,10.13,15.87,6.88,4.21,12.24,40.15
32,atheism,14.53,6.7,11.17,30.17,7.82,8.94,8.94,11.73
