document,actual,for sale,guns,atheism,electronics,apple hardware,religion misc
0,atheism,6.34,14.25,48.83,10.43,14.86,5.3
1,atheism,1.24,8.32,78.95,5.48,0.78,5.23
2,atheism,7.23,15.46,59.6,7.98,5.24,4.49
3,atheism,10.55,10.05,36.18,13.57,17.59,12.06
4,religion misc,11.59,13.04,14.49,10.87,15.22,34.78
5,atheism,3.42,5.77,72.44,4.91,3.21,10.26
6,religion misc,11.3,11.3,13.04,12.17,14.78,37.39
7,religion misc,7.57,13.51,26.49,10.27,6.49,35.68
8,religion misc,4.64,7.14,17.86,8.57,5.71,56.07
9,religion misc,10.89,13.86,13.86,11.88,14.85,34.65
10,religion misc,8.13,14.63,10.57,10.57,10.57,45.53
11,religion misc,14.29,10.08,16.81,15.97,10.08,32.77
12,religion misc,10.24,10.84,25.9,7.23,9.64,36.14
13,religion misc,6.42,18.11,18.11,9.06,7.17,41.13
14,religion misc,5.0,29.29,20.0,8.93,4.29,32.5
15,religion misc,6.6,21.83,12.69,6.09,6.09,46.7
16,religion misc,6.9,21.38,14.48,9.66,8.97,38.62
17,religion misc,7.41,12.7,16.4,10.58,6.88,46.03
18,religion misc,5.33,14.34,16.39,11.89,5.74,46.31
19,atheism,9.44,10.56,30.0,15.0,11.67,23.33
20,religion misc,15.24,10.48,18.1,9.52,22.86,23.81
21,atheism,10.39,11.04,25.32,13.64,15.58,24.03
22,religion misc,2.11,19.08,25.28,6.69,3.1,43.74
23,religion misc,8.2,9.84,18.03,9.84,9.84,44.26
24,apple hardware,11.3,10.17,19.77,16.95,32.2,9.6
25,guns,15.52,19.83,12.93,16.38,19.83,15.52
26,religion misc,10.17,13.56,23.73,8.47,9.32,34.75
27,religion misc,9.38,9.38,14.37,12.5,6.88,47.5
28,religion misc,6.76,15.94,15.94,8.21,11.59,41.55
29,religion misc,13.13,11.11,13.13,10.1,11.11,41.41
30,religion misc,8.2,13.11,15.57,13.11,9.84,40.16
31,apple hardware,6.16,14.31,18.49,17.5,35.39,8.15
32,atheism,8.81,13.21,40.88,11.95,10.69,14.47
33,atheism,4.91,4.06,70.94,6.2,6.62,7.26
34,atheism,9.84,9.84,24.59,8.2,23.5,24.04
35,apple hardware,8.29,15.03,22.28,10.88,25.39,18.13
36,religion misc,3.12,8.96,19.17,12.08,5.0,51.67
37,atheism,8.02,5.66,49.53,7.55,10.38,18.87
38,religion misc,12.84,12.84,19.27,12.84,19.27,22.94
39,religion misc,9.33,8.29,20.21,17.1,16.06,29.02
40,religion misc,9.43,16.35,18.24,11.32,10.69,33.96
41,atheism,6.84,6.84,30.0,9.47,27.89,18.95
42,religion misc,6.56,14.06,27.81,11.56,4.38,35.62
43,religion misc,9.26,8.64,10.49,11.11,9.88,50.62
44,atheism,7.63,15.66,34.54,11.24,10.04,20.88
45,atheism,5.5,7.8,60.09,11.93,3.44,11.24
46,religion misc,8.05,13.79,11.49,18.39,13.79,34.48
47,religion misc,7.75,9.15,15.49,9.15,14.79,43.66
48,atheism,11.38,14.63,26.83,10.57,13.01,23.58
49,atheism,5.35,9.12,51.57,7.23,16.35,10.38
50,religion misc,4.93,15.25,17.49,9.87,5.83,46.64
51,religion misc,10.09,11.93,11.01,9.17,11.01,46.79
52,atheism,6.38,18.3,44.68,11.06,8.94,10.64
53,religion misc,5.28,9.9,20.46,7.59,6.6,50.17
54,religion misc,6.47,7.65,12.35,8.24,8.82,56.47
55,religion misc,7.24,10.53,9.21,10.53,8.55,53.95
56,religion misc,6.15,5.64,12.31,8.21,8.21,59.49
57,religion misc,7.45,9.94,11.18,9.94,13.04,48.45
58,religion misc,7.95,10.23,7.39,7.95,8.52,57.95
59,atheism,8.3,12.25,44.27,8.7,13.83,12.65
60,religion misc,6.88,15.6,7.34,7.8,9.17,53.21
61,religion misc,7.14,10.39,18.83,13.64,11.04,38.96
62,religion misc,6.25,10.23,9.66,10.8,7.95,55.11
63,religion misc,7.38,10.74,16.11,8.05,10.07,47.65
64,atheism,6.99,13.54,44.1,7.86,11.35,16.16
65,atheism,7.5,15.0,28.12,16.88,22.5,10.0
66,atheism,10.95,7.3,51.82,8.76,11.68,9.49
67,religion misc,12.84,15.54,14.19,12.84,13.51,31.08
68,religion misc,13.24,11.03,16.18,8.82,13.24,37.5
69,atheism,6.67,9.44,33.89,9.44,16.11,24.44
70,atheism,6.49,16.02,33.77,11.26,15.15,17.32
71,religion misc,5.5,17.0,13.0,10.0,7.5,47.0
72,atheism,10.07,10.74,29.53,6.71,25.5,17.45
73,religion misc,6.86,15.52,13.72,7.22,7.22,49.46
74,religion misc,11.11,12.7,22.22,9.52,11.9,32.54
75,atheism,7.41,8.99,37.04,7.41,7.41,31.75
76,atheism,7.19,10.46,37.91,10.46,11.76,22.22
77,atheism,8.14,14.48,22.62,15.38,18.55,20.81
78,religion misc,7.97,10.87,28.26,8.7,10.87,33.33
79,atheism,6.53,11.84,53.06,9.8,9.39,9.39
80,religion misc,6.63,6.63,19.39,8.16,18.37,40.82
81,religion misc,8.51,12.77,15.6,9.22,12.06,41.84
82,religion misc,8.25,15.46,19.59,11.34,12.37,32.99
83,atheism,12.32,9.42,34.78,8.7,19.57,15.22
84,atheism,4.36,10.05,57.62,18.43,2.68,6.87
85,atheism,10.76,11.66,39.01,11.21,16.59,10.76
86,religion misc,7.34,10.55,14.22,11.47,7.34,49.08
87,atheism,4.67,7.93,68.84,11.62,2.71,4.23
88,religion misc,9.93,11.26,27.81,9.6,5.63,35.76
89,religion misc,8.42,18.42,15.79,7.89,8.95,40.53
90,religion misc,10.0,14.62,12.31,10.0,10.77,42.31
91,guns,15.28,24.31,15.28,9.03,15.97,20.14
92,religion misc,11.29,13.71,12.9,12.1,11.29,38.71
93,atheism,6.62,9.27,55.3,7.28,11.92,9.6
94,religion misc,9.77,21.86,9.77,14.42,7.44,36.74
95,atheism,8.78,16.22,41.22,10.81,14.86,8.11
96,religion misc,5.73,10.31,20.99,7.63,7.25,48.09
97,apple hardware,9.15,13.73,18.95,11.11,28.76,18.3
98,atheism,6.98,7.44,39.53,8.84,26.05,11.16
99,apple hardware,8.05,8.05,24.83,8.05,40.94,10.07
100,religion misc,7.2,14.4,17.6,11.2,8.8,40.8
101,atheism,6.47,17.91,42.29,10.95,11.94,10.45
102,atheism,5.16,17.48,47.56,9.74,5.73,14.33
103,atheism,10.16,12.5,22.66,14.84,17.97,21.88
104,religion misc,7.69,12.59,20.98,16.08,11.19,31.47
105,religion misc,10.66,22.13,11.48,11.48,11.48,32.79
106,apple hardware,9.09,9.74,18.83,10.39,29.22,22.73
107,atheism,4.05,7.48,68.22,6.23,4.36,9.66
108,religion misc,9.02,14.29,21.05,9.02,15.04,31.58
109,religion misc,9.74,14.94,16.88,9.74,9.09,39.61
110,atheism,7.22,12.37,31.44,14.95,7.73,26.29
111,religion misc,6.82,21.59,21.97,9.09,4.17,36.36
112,religion misc,10.73,16.38,16.95,15.82,6.78,33.33
113,religion misc,10.26,17.95,11.97,11.97,11.11,36.75
114,atheism,2.58,13.3,52.04,10.52,2.15,19.42
115,atheism,9.71,6.86,59.43,8.0,7.43,8.57
116,religion misc,10.16,17.19,17.19,10.16,9.38,35.94
117,religion misc,8.39,12.59,24.48,11.19,11.89,31.47
118,guns,9.7,29.09,16.97,10.91,9.7,23.64
119,atheism,5.82,7.27,61.45,10.18,8.0,7.27
120,religion misc,16.81,13.27,15.04,13.27,14.16,27.43
121,religion misc,5.56,16.67,20.0,10.56,9.44,37.78
122,atheism,6.82,10.91,55.91,11.82,7.73,6.82
123,atheism,5.78,10.67,53.78,12.89,7.11,9.78
124,guns,11.4,25.91,19.17,9.84,8.81,24.87
125,atheism,4.33,12.33,42.67,10.67,5.0,25.0
126,atheism,9.4,9.4,38.46,8.55,14.53,19.66
127,religion misc,7.66,10.81,25.23,9.01,10.36,36.94
128,atheism,4.17,3.53,74.68,7.05,4.49,6.09
129,atheism,5.05,23.66,33.44,9.15,4.73,23.97
130,religion misc,7.94,11.11,20.63,13.49,10.32,36.51
131,religion misc,6.5,7.94,21.66,9.75,14.44,39.71
132,religion misc,8.43,9.55,8.99,7.3,12.92,52.81
133,religion misc,10.09,22.37,17.98,9.65,11.4,28.51
134,atheism,4.48,9.64,60.93,7.75,4.65,12.56
135,atheism,5.8,6.28,57.97,9.18,7.25,13.53
136,religion misc,7.5,7.0,24.5,6.5,9.5,45.0
137,atheism,11.76,15.29,34.71,8.24,11.18,18.82
138,atheism,11.54,11.54,38.46,11.54,15.38,11.54
139,atheism,8.66,10.24,52.76,7.87,8.66,11.81
140,atheism,5.81,7.75,63.18,10.08,5.81,7.36
141,atheism,9.55,11.46,48.41,7.64,12.1,10.83
142,atheism,6.63,13.26,61.67,7.49,5.48,5.48
143,atheism,6.98,8.14,56.98,10.47,7.56,9.88
144,atheism,4.89,8.0,60.0,8.89,7.56,10.67
145,religion misc,7.19,12.95,15.11,9.35,10.07,45.32
146,atheism,7.69,8.21,45.64,11.28,8.21,18.97
147,atheism,5.09,9.45,56.73,9.82,6.91,12.0
148,religion misc,4.61,7.14,23.5,10.37,4.38,50.0
