document,actual,guns,for sale,hockey,politics misc,apple hardware,atheism
0,atheism,14.34,17.03,8.43,3.82,5.91,50.48
1,atheism,5.48,1.17,1.14,8.78,2.6,80.83
2,atheism,6.48,6.98,4.49,22.69,7.48,51.87
3,atheism,11.56,15.58,12.06,18.09,8.54,34.17
4,atheism,13.77,20.29,8.7,14.49,13.04,29.71
5,atheism,3.63,3.21,4.91,10.26,4.06,73.93
6,atheism,13.91,18.26,10.43,12.17,9.57,35.65
7,atheism,11.35,7.03,8.65,12.43,7.57,52.97
8,atheism,4.29,6.43,4.64,10.71,5.36,68.57
9,atheism,17.82,16.83,9.9,9.9,12.87,32.67
10,atheism,12.2,12.2,8.94,20.33,9.76,36.59
11,atheism,9.24,15.97,11.76,15.97,10.92,36.13
12,atheism,9.64,12.05,6.63,9.04,8.43,54.22
13,atheism,13.58,7.17,3.77,27.17,12.08,36.23
14,atheism,15.71,5.71,4.64,13.57,8.57,51.79
15,atheism,15.74,8.12,5.08,13.71,7.61,49.75
16,atheism,21.38,8.28,8.97,11.03,10.34,40.0
17,atheism,10.05,6.88,7.94,8.47,8.99,57.67
18,atheism,10.25,7.79,6.56,14.34,6.56,54.51
19,atheism,8.89,12.22,8.33,18.89,10.56,41.11
20,atheism,12.38,15.24,20.0,20.95,9.52,21.9
21,atheism,18.18,10.39,10.39,12.34,12.34,36.36
22,atheism,11.9,2.11,2.73,18.96,3.59,60.72
23,atheism,8.2,12.3,9.02,11.48,9.02,50.0
24,for sale,14.69,28.81,12.99,11.3,13.56,18.64
25,for sale,13.79,22.41,12.93,19.83,13.79,17.24
26,atheism,13.56,11.02,8.47,16.1,8.47,42.37
27,atheism,9.38,8.75,6.88,10.0,9.38,55.62
28,atheism,18.84,8.7,10.14,14.98,6.28,41.06
29,atheism,11.11,16.16,11.11,10.1,11.11,40.4
30,atheism,13.11,13.11,8.2,12.3,13.11,40.16
31,guns,47.12,8.15,11.13,10.74,8.55,14.31
32,atheism,14.47,10.69,8.81,19.5,10.69,35.85
33,atheism,3.42,6.62,3.42,9.19,4.7,72.65
34,atheism,8.2,17.49,9.84,13.11,6.56,44.81
35,for sale,11.92,31.61,8.81,16.58,8.81,22.28
36,atheism,9.17,4.17,4.38,11.25,6.88,64.17
37,atheism,10.85,11.32,7.08,9.91,8.02,52.83
38,guns,20.18,17.43,14.68,18.35,10.09,19.27
39,atheism,9.33,16.06,7.25,25.39,13.47,28.5
40,atheism,13.21,13.84,7.55,13.21,7.55,44.65
41,atheism,10.0,14.21,6.84,7.37,7.89,53.68
42,atheism,8.75,8.75,5.0,22.19,4.69,50.62
43,atheism,8.64,15.43,6.17,12.35,9.88,47.53
44,atheism,11.24,10.84,4.82,27.71,9.64,35.74
45,atheism,9.86,8.03,3.44,10.09,6.42,62.16
46,atheism,12.64,13.79,8.62,20.11,10.34,34.48
47,atheism,8.45,28.87,9.15,9.15,11.97,32.39
48,atheism,9.76,20.33,8.13,15.45,14.63,31.71
49,atheism,8.18,14.47,5.66,14.47,3.77,53.46
50,atheism,11.66,8.07,6.28,18.83,6.73,48.43
51,atheism,10.09,15.6,11.01,11.93,9.17,42.2
52,atheism,17.45,5.96,5.53,10.64,7.66,52.77
53,atheism,9.57,7.26,5.94,16.83,5.61,54.79
54,atheism,5.88,8.82,7.06,15.88,7.06,55.29
55,atheism,11.18,11.84,7.89,9.21,8.55,51.32
56,atheism,6.15,10.26,5.64,13.33,6.67,57.95
57,atheism,9.32,15.53,6.83,12.42,8.07,47.83
58,atheism,7.39,10.23,6.82,18.18,6.82,50.57
59,atheism,6.72,11.46,6.32,20.16,4.74,50.59
60,atheism,11.93,8.26,7.34,18.81,5.05,48.62
61,atheism,10.39,10.39,7.79,9.74,9.74,51.95
62,atheism,9.66,9.66,7.95,14.77,6.25,51.7
63,atheism,10.74,11.41,6.71,8.72,7.38,55.03
