document,actual,apple hardware,atheism,hockey,electronics,for sale,guns
0,atheism,10.25,54.21,8.08,12.6,4.43,10.43
1,atheism,1.14,83.57,1.17,3.06,3.66,7.4
2,atheism,5.49,62.09,4.74,9.73,10.97,6.98
3,atheism,8.54,32.16,12.06,12.06,20.1,15.08
4,atheism,14.49,26.81,7.97,18.12,15.94,16.67
5,atheism,3.21,75.85,4.06,3.85,8.12,4.91
6,atheism,13.04,42.61,11.3,10.43,10.43,12.17
7,atheism,7.57,57.84,5.95,8.65,7.57,12.43
8,atheism,6.43,69.29,4.29,6.07,7.14,6.79
9,atheism,17.82,33.66,9.9,9.9,16.83,11.88
10,atheism,12.2,43.9,8.94,8.94,16.26,9.76
11,atheism,15.97,39.5,12.61,10.08,12.61,9.24
12,atheism,9.64,49.4,7.83,9.04,12.65,11.45
13,atheism,7.17,50.57,3.77,6.42,16.23,15.85
14,atheism,5.36,57.14,6.07,5.0,10.36,16.07
15,atheism,8.12,53.3,5.58,6.6,10.15,16.24
16,atheism,6.9,43.45,9.66,8.97,14.48,16.55
17,atheism,5.29,61.9,8.47,7.41,8.99,7.94
18,atheism,6.56,59.84,6.97,5.74,10.66,10.25
19,atheism,13.89,42.22,6.67,9.44,17.22,10.56
20,atheism,13.33,25.71,16.19,16.19,16.19,12.38
21,atheism,7.79,40.91,11.69,11.69,19.48,8.44
22,atheism,2.11,72.86,2.85,3.72,6.44,12.02
23,atheism,13.93,51.64,8.2,9.84,8.2,8.2
24,apple hardware,21.47,16.38,13.56,20.34,14.69,13.56
25,for sale,17.24,12.93,14.66,15.52,20.69,18.97
26,atheism,9.32,45.76,9.32,8.47,15.25,11.86
27,atheism,10.0,53.12,6.25,7.5,13.12,10.0
28,atheism,13.04,43.0,8.21,8.21,10.63,16.91
29,atheism,12.12,36.36,11.11,14.14,16.16,10.1
30,atheism,13.11,38.52,9.02,14.75,10.66,13.93
31,guns,11.73,16.7,6.76,8.95,6.16,49.7
32,atheism,10.06,45.28,8.81,8.18,13.21,14.47
33,atheism,4.91,75.43,2.78,4.27,7.69,4.91
34,atheism,11.48,41.53,8.74,7.1,22.95,8.2
35,atheism,15.03,33.68,8.29,8.29,26.94,7.77
36,atheism,5.83,71.25,2.92,4.58,5.42,10.0
37,atheism,13.21,47.64,8.96,8.96,12.74,8.49
38,atheism,13.76,25.69,13.76,11.93,21.1,13.76
39,atheism,13.47,33.16,8.81,11.92,21.76,10.88
40,atheism,11.95,45.91,7.55,11.32,9.43,13.84
41,atheism,17.37,45.79,5.79,9.47,13.68,7.89
42,atheism,5.62,54.06,4.06,4.69,16.25,15.31
43,atheism,15.43,44.44,9.88,10.49,10.49,9.26
44,atheism,9.24,48.59,6.83,9.64,15.26,10.44
45,atheism,5.28,62.61,4.36,8.03,11.93,7.8
46,atheism,10.92,38.51,9.77,7.47,22.99,10.34
47,atheism,13.38,45.77,8.45,7.75,16.9,7.75
