document,actual,atheism,hockey,apple hardware,for sale,guns,electronics
0,atheism,53.0,8.43,10.08,4.6,17.46,6.43
1,atheism,84.28,1.21,0.75,2.45,8.25,3.06
2,atheism,67.83,7.48,5.24,6.23,4.49,8.73
3,atheism,31.16,10.05,11.06,21.11,12.06,14.57
4,atheism,27.54,11.59,12.32,16.67,19.57,12.32
5,atheism,76.92,4.27,2.56,5.98,5.56,4.7
6,atheism,39.13,12.17,13.04,13.91,12.17,9.57
7,atheism,60.54,7.03,6.49,7.03,11.35,7.57
8,atheism,67.86,4.29,7.5,5.36,9.29,5.71
9,atheism,32.67,10.89,15.84,20.79,9.9,9.9
10,atheism,41.46,8.94,11.38,16.26,9.76,12.2
11,atheism,38.66,10.92,15.97,14.29,10.08,10.08
12,atheism,51.2,7.83,9.64,10.84,13.25,7.23
13,atheism,50.57,4.53,7.55,13.96,17.36,6.04
14,atheism,54.29,4.64,3.93,13.93,17.5,5.71
15,atheism,50.25,6.09,6.6,9.64,20.3,7.11
16,atheism,44.14,9.66,9.66,10.34,16.55,9.66
17,atheism,53.44,7.41,6.35,12.7,10.05,10.05
18,atheism,59.84,6.56,7.38,8.2,10.25,7.79
19,atheism,49.44,7.78,9.44,15.56,7.22,10.56
20,for sale,20.95,19.05,10.48,27.62,11.43,10.48
21,atheism,38.96,14.94,9.09,13.64,11.69,11.69
22,atheism,68.15,2.11,2.11,6.69,17.22,3.72
23,atheism,46.72,9.02,10.66,14.75,9.02,9.84
24,atheism,19.77,16.38,15.25,19.77,12.43,16.38
25,guns,17.24,12.93,16.38,15.52,21.55,16.38
26,atheism,41.53,9.32,10.17,15.25,14.41,9.32
27,atheism,46.25,8.12,7.5,13.75,13.12,11.25
28,atheism,38.16,8.21,6.28,15.94,20.29,11.11
29,atheism,40.4,10.1,13.13,13.13,10.1,13.13
30,atheism,33.61,8.2,9.02,20.49,14.75,13.93
31,guns,14.71,8.95,11.33,11.53,43.94,9.54
32,atheism,47.8,10.06,12.58,10.06,10.69,8.81
33,atheism,76.28,3.63,4.91,6.62,4.49,4.06
34,atheism,42.62,6.56,9.84,21.86,12.02,7.1
35,atheism,33.16,8.29,11.92,23.83,13.47,9.33
36,atheism,69.38,3.96,4.58,3.33,12.29,6.46
37,atheism,50.47,6.13,10.38,14.15,9.43,9.43
38,atheism,31.19,14.68,13.76,18.35,11.01,11.01
39,atheism,33.68,14.51,12.95,20.73,7.25,10.88
40,atheism,42.77,6.92,10.06,17.61,12.58,10.06
41,atheism,52.11,5.79,11.58,14.21,8.42,7.89
42,atheism,59.06,4.69,7.81,7.5,15.31,5.62
43,atheism,50.0,8.02,7.41,17.28,7.41,9.88
44,atheism,50.6,6.43,9.24,12.45,12.85,8.43
45,atheism,67.43,4.36,4.59,7.57,7.57,8.49
46,atheism,35.63,8.62,7.47,22.99,16.09,9.2
47,atheism,43.66,8.45,9.86,21.83,7.75,8.45
48,atheism,35.77,9.76,13.82,17.07,12.2,11.38
49,atheism,61.95,5.03,5.03,16.35,7.55,4.09
50,atheism,57.85,6.73,4.93,13.45,8.97,8.07
51,atheism,42.2,10.09,10.09,16.51,11.01,10.09
52,atheism,51.91,5.53,5.53,11.06,17.02,8.94
53,atheism,50.83,6.93,9.57,18.48,9.24,4.95
54,atheism,51.76,11.18,8.24,11.76,8.82,8.24
55,atheism,50.66,6.58,10.53,13.82,9.21,9.21
56,atheism,60.51,5.64,10.26,10.26,6.67,6.67
57,atheism,47.2,7.45,7.45,16.15,11.8,9.94
58,atheism,55.11,6.82,6.25,16.48,7.39,7.95
59,atheism,56.92,5.53,7.91,13.04,7.51,9.09
60,atheism,50.46,9.63,5.5,17.43,10.09,6.88
61,atheism,49.35,9.09,9.09,14.29,9.09,9.09
62,atheism,52.84,7.39,6.82,15.91,8.52,8.52
63,atheism,53.69,6.71,6.71,12.75,12.08,8.05
64,atheism,46.72,7.42,12.66,10.92,11.79,10.48
