document,actual,hockey,atheism,for sale,apple hardware,electronics,guns
0,atheism,7.3,53.43,3.65,10.77,5.13,19.72
1,atheism,0.82,86.02,1.42,1.03,3.02,7.68
2,atheism,3.99,72.57,5.24,4.74,6.73,6.73
3,atheism,10.05,34.17,17.59,8.54,13.57,16.08
4,guns,12.32,22.46,15.94,11.59,13.77,23.91
5,atheism,3.63,79.91,5.34,3.21,4.7,3.21
6,for sale,10.43,21.74,34.78,10.43,12.17,10.43
7,atheism,7.57,57.84,7.03,8.11,9.19,10.27
8,atheism,5.36,59.29,13.93,6.07,5.36,10.0
9,for sale,9.9,13.86,38.61,12.87,10.89,13.86
10,for sale,8.13,24.39,36.59,8.94,10.57,11.38
11,for sale,10.08,26.89,29.41,11.76,10.92,10.92
12,for sale,6.63,28.92,33.13,7.23,7.83,16.27
13,atheism,4.15,46.42,18.87,6.42,7.92,16.23
14,atheism,4.64,52.86,18.57,3.93,5.0,15.0
15,atheism,5.08,42.13,21.32,6.09,7.11,18.27
16,for sale,8.97,27.59,28.28,7.59,7.59,20.0
17,atheism,7.41,40.21,26.98,6.35,10.05,8.99
18,atheism,6.15,42.21,28.28,7.38,4.92,11.07
19,atheism,8.89,38.89,18.89,10.0,12.78,10.56
20,for sale,20.0,17.14,28.57,10.48,11.43,12.38
21,atheism,13.64,31.82,17.53,10.39,17.53,9.09
22,atheism,1.86,74.97,5.82,1.61,4.21,11.52
23,for sale,8.2,26.23,32.79,11.48,10.66,10.66
24,for sale,15.82,20.9,21.47,15.82,14.12,11.86
25,guns,12.93,17.24,15.52,19.83,13.79,20.69
26,for sale,9.32,23.73,33.9,9.32,9.32,14.41
27,atheism,8.12,45.62,23.12,6.88,8.12,8.12
28,atheism,10.14,46.38,12.56,5.31,9.18,16.43
29,for sale,10.1,22.22,35.35,10.1,10.1,12.12
30,atheism,9.84,27.05,25.41,9.02,13.11,15.57
31,guns,7.95,20.08,9.74,10.74,8.75,42.74
32,atheism,8.18,48.43,11.32,10.69,9.43,11.95
33,atheism,2.35,74.57,10.68,4.06,4.06,4.27
34,atheism,8.2,38.8,27.87,7.1,8.74,9.29
35,for sale,8.29,27.46,36.79,7.77,6.74,12.95
36,atheism,4.79,63.54,8.96,5.21,5.83,11.67
37,atheism,6.13,52.36,15.57,7.55,9.91,8.49
38,atheism,11.93,27.52,17.43,10.09,21.1,11.93
39,for sale,10.36,24.35,30.05,13.47,10.88,10.88
40,for sale,7.55,27.04,33.33,8.18,8.81,15.09
41,for sale,5.26,33.68,34.74,7.37,7.37,11.58
42,atheism,5.0,54.06,15.31,6.56,5.62,13.44
43,for sale,6.17,20.37,45.68,6.79,11.73,9.26
44,atheism,5.62,52.61,10.04,8.43,11.65,11.65
45,atheism,3.9,66.97,8.94,5.05,8.72,6.42
46,atheism,9.77,39.66,18.39,8.62,11.49,12.07
47,for sale,7.75,23.94,43.66,7.75,9.15,7.75
48,atheism,8.94,31.71,28.46,12.2,9.76,8.94
49,atheism,5.03,59.43,14.47,6.6,5.97,8.49
50,atheism,5.83,40.36,30.94,4.48,5.83,12.56
51,for sale,9.17,14.68,44.95,9.17,10.09,11.93
52,atheism,6.81,47.23,9.79,7.66,10.21,18.3
53,atheism,6.6,47.85,19.47,8.58,6.6,10.89
54,atheism,8.82,34.12,32.94,7.65,8.24,8.24
55,for sale,8.55,17.11,49.34,9.21,9.21,6.58
56,for sale,5.13,28.72,43.08,10.26,6.67,6.15
57,for sale,6.83,13.66,49.07,8.07,9.94,12.42
58,for sale,10.23,17.61,47.16,6.25,10.23,8.52
59,atheism,5.93,52.57,14.62,10.28,8.3,8.3
60,for sale,9.17,24.31,40.37,6.42,10.09,9.63
61,atheism,8.44,31.17,31.17,10.39,9.09,9.74
62,atheism,7.95,41.48,28.41,6.82,7.95,7.39
63,atheism,6.71,48.99,19.46,6.71,8.72,9.4
64,atheism,5.68,46.29,18.34,10.04,9.17,10.48
65,atheism,11.25,31.25,15.62,15.62,11.88,14.37
66,atheism,8.03,45.26,16.79,9.49,10.95,9.49
67,for sale,6.76,23.65,27.7,12.16,13.51,16.22
68,for sale,8.82,25.0,27.21,13.24,10.29,15.44
69,atheism,5.56,42.22,22.22,7.78,8.33,13.89
70,atheism,5.63,53.25,12.99,8.66,10.82,8.66
71,atheism,9.5,50.5,11.0,7.0,8.0,14.0
72,for sale,11.41,24.16,34.9,11.41,10.07,8.05
73,atheism,6.14,33.21,32.13,7.22,8.3,13.0
74,for sale,7.94,28.57,35.71,8.73,9.52,9.52
75,atheism,6.35,45.5,25.93,7.41,6.35,8.47
76,atheism,9.15,51.63,16.99,6.54,8.5,7.19
77,atheism,10.41,39.82,18.55,12.22,11.76,7.24
78,atheism,10.14,40.58,21.01,7.25,8.7,12.32
79,atheism,4.9,56.33,12.65,5.71,4.9,15.51
80,for sale,5.61,16.84,56.63,8.16,5.61,7.14
81,for sale,9.22,26.95,40.43,7.09,8.51,7.8
82,atheism,10.82,29.9,27.32,8.25,7.22,16.49
83,atheism,10.87,31.16,21.01,8.7,14.49,13.77
84,atheism,3.69,69.85,7.71,4.19,9.21,5.36
85,atheism,7.62,36.32,14.8,15.25,12.56,13.45
86,atheism,5.96,56.88,18.81,5.5,5.5,7.34
87,atheism,4.02,77.31,5.1,3.58,5.75,4.23
88,atheism,4.64,61.26,13.58,7.62,5.96,6.95
89,atheism,6.84,34.74,28.42,6.84,12.11,11.05
90,for sale,10.0,26.15,26.92,10.77,11.54,14.62
91,atheism,9.72,31.25,15.97,11.11,13.89,18.06
92,atheism,9.68,34.68,25.81,8.06,9.68,12.1
93,atheism,3.31,60.6,10.93,8.28,7.62,9.27
94,atheism,5.58,41.86,16.74,7.91,11.16,16.74
95,atheism,7.43,40.54,18.24,8.78,12.84,12.16
96,atheism,4.96,54.96,19.08,7.25,7.63,6.11
97,atheism,9.15,30.72,30.07,7.19,9.15,13.73
98,atheism,7.44,37.21,35.35,5.58,7.44,6.98
99,for sale,8.05,28.86,35.57,8.72,9.4,9.4
100,atheism,10.4,42.8,10.4,6.8,11.2,18.4
101,atheism,5.47,49.75,12.94,9.95,9.95,11.94
102,atheism,5.16,57.31,11.46,5.73,5.16,15.19
103,atheism,14.06,32.03,14.06,13.28,13.28,13.28
104,atheism,7.69,34.27,23.08,9.79,10.49,14.69
105,atheism,8.2,30.33,21.31,11.48,13.11,15.57
106,atheism,9.09,33.12,23.38,10.39,11.69,12.34
107,atheism,3.43,76.32,5.61,4.05,4.67,5.92
108,for sale,8.27,18.8,29.32,8.27,13.53,21.8
109,for sale,7.14,29.87,30.52,7.14,7.14,18.18
110,atheism,5.15,48.45,17.01,6.7,9.28,13.4
111,atheism,4.92,56.06,19.32,5.3,5.3,9.09
112,atheism,7.34,34.46,20.9,7.34,11.3,18.64
113,for sale,10.26,17.09,34.19,8.55,11.97,17.95
114,atheism,2.47,70.39,6.22,2.36,4.18,14.38
115,atheism,6.29,53.71,13.14,9.14,10.86,6.86
116,atheism,7.81,34.38,21.09,8.59,13.28,14.84
117,atheism,7.69,32.87,26.57,8.39,7.69,16.78
118,atheism,9.7,31.52,23.03,8.48,10.91,16.36
119,atheism,6.55,64.73,8.0,4.73,9.09,6.91
120,atheism,10.62,34.51,14.16,13.27,18.58,8.85
121,atheism,10.0,52.78,15.56,6.11,7.78,7.78
122,atheism,6.82,57.73,6.36,5.91,13.18,10.0
123,atheism,6.22,60.89,7.11,6.67,11.56,7.56
124,atheism,6.74,39.38,8.29,7.25,13.47,24.87
125,atheism,7.0,62.33,7.0,5.0,7.33,11.33
126,atheism,8.55,41.88,20.51,11.97,8.55,8.55
127,atheism,5.86,45.05,19.82,6.76,7.21,15.32
128,atheism,4.17,74.36,5.13,4.81,6.09,5.45
129,atheism,3.79,58.36,9.46,6.31,7.57,14.51
130,for sale,9.52,26.98,33.33,8.73,10.32,11.11
131,for sale,5.05,33.57,40.43,6.5,7.22,7.22
132,atheism,7.87,34.27,27.53,6.74,11.8,11.8
133,atheism,14.04,40.35,10.09,7.46,8.77,19.3
134,atheism,2.93,70.74,8.95,5.68,5.34,6.37
135,atheism,7.25,64.73,7.25,5.31,7.73,7.73
136,atheism,7.5,40.0,30.0,6.5,7.5,8.5
137,atheism,12.35,40.0,12.35,7.65,7.65,20.0
138,atheism,10.58,41.35,16.35,9.62,11.54,10.58
139,atheism,9.45,53.54,10.24,7.87,8.66,10.24
140,atheism,5.43,68.22,5.81,6.59,7.75,6.2
